"35","AR_1234","Aero Autofactoria",3,"X4 G02","Diesel","2021-10-16"
"36","AR_1678","Aero Autofactoria",3,"Z4 G29","Essence sans plomb","2021-12-01"
"37","AR_1345","SARL LOCOTO",4,"C4 PICASSO","Diesel","2021-10-28"
"38","AR_1234","LAUDRIN THIERRY",4,"DS5","Diesel","2021-10-25"
"39","AR_1345","MIGNET JULIEN",4,"DS5","Diesel / Courant électrique","2021-09-09"
"40","AR_1234","RUIS VIRGINIE",5,"DUSTER","Diesel","2021-10-20"
"41","AR_1678","Glinche Automobile",5,"SANDERO","Essence ou gaz","2021-11-30"
"42","AR_1678","SAGA BOULOGNE",6,"DS3 CROSSBACK","Essence sans plomb","2021-09-13"
"43","AR_1345","STARTERRE",6,"DS7 CROSSBACK","Diesel","2021-12-12"
"44","AR_1345","FG344SX",7,"500 SERIE 6","Essence sans plomb","2021-11-29"
